Movie,Best Predictor,COD
Erik the Viking (1989),I.Q. (1994),0.731507476731657
I.Q. (1994),Erik the Viking (1989),0.7315074767316568
Patton (1970),The Lookout (2007),0.7135542589926913
The Lookout (2007),Patton (1970),0.7135542589926912
The Bandit (1996),Best Laid Plans (1999),0.7112222468014325
Best Laid Plans (1999),The Bandit (1996),0.7112222468014324
Congo (1995),The Straight Story (1999),0.7005689836445022
The Straight Story (1999),Congo (1995),0.7005689836445022
The Final Conflict (1981),The Lookout (2007),0.7001881161214467
Ran (1985),Heavy Traffic (1973),0.6927335239652475
Heavy Traffic (1973),Ran (1985),0.6927335239652475
FeardotCom (2002),The Final Conflict (1981),0.6910371117905774
Stir Crazy (1980),The Silencers (1966),0.6819831258114571
The Silencers (1966),Stir Crazy (1980),0.681983125811457
Crimson Tide (1995),The Straight Story (1999),0.6784535648314336
The Station Agent (2003),Ed Wood (1994),0.6713849837329366
Ed Wood (1994),The Station Agent (2003),0.6713849837329366
The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Two Towers (2002),0.6651097646606814
The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Fellowship of the Ring (2001),0.6651097646606814
21 Grams (2003),The Lookout (2007),0.6609185178922179
Sexy Beast (2000),The Silencers (1966),0.6594355043318669
Miller's Crossing (1990),The Lookout (2007),0.6567814482605832
What Lies Beneath (2000),Erik the Viking (1989),0.655060560957997
The Core (2003),I.Q. (1994),0.6513410144105207
Escape from LA (1996),Sexy Beast (2000),0.6496095342338334
Downfall (2004),The Lookout (2007),0.6432951942975045
Red Sonja (1985),The Lookout (2007),0.6408947751704266
The Insider (1999),I.Q. (1994),0.6394983899860375
Blow (2001),The Straight Story (1999),0.6391034530171278
In America (2002),Stir Crazy (1980),0.6358040642735169
Close Encounters of the Third Kind (1977),I.Q. (1994),0.6346072938424792
Analyze That (2002),The Lookout (2007),0.6334262606152417
Unforgiven (1992),Sexy Beast (2000),0.6333133697330241
The Firm (1993),Barb Wire (1996),0.632746249191271
Barb Wire (1996),The Firm (1993),0.6327462491912709
Along Came a Spider (2002),The Lookout (2007),0.632651586784865
The 51st State (2001),Sexy Beast (2000),0.6323439673995209
Bram Stoker's Dracula (1992),The Straight Story (1999),0.6313284174648424
De-Lovely (2004),The Firm (1993),0.6305766639060496
Boomerang (1992),Sexy Beast (2000),0.6292893132747557
Cocktail (1988),The Lookout (2007),0.6268457026256169
Billy Jack (1971),Sexy Beast (2000),0.6263251337499547
Hollow Man (2000),Crimson Tide (1995),0.6248934705853029
MacArthur (1977),Miller's Crossing (1990),0.6244019043081227
Father's Day (1997),The Lookout (2007),0.6225047855681649
Once Upon a Time in the West (1968),FeardotCom (2002),0.6210084837658294
Divine Secrets of the Ya-Ya Sisterhood (2002),Stir Crazy (1980),0.6198002669878374
Moonraker (1979),Unforgiven (1992),0.6190337625229674
Andaz Apna Apna (1994),The Doom Generation (1995),0.6186491631397999
The Doom Generation (1995),Andaz Apna Apna (1994),0.6186491631397999
Judge Dredd (1995),The Bandit (1996),0.6139590247785986
Suspiria (1977),Miller's Crossing (1990),0.6110562698338586
A Time to Kill (1996),Boomerang (1992),0.6110096761404729
Broken Arrow (1996),The Bandit (1996),0.6106470169683111
A Perfect Murder (1998),Sexy Beast (2000),0.6101281082791372
Butch Cassidy and the Sundance Kid (1969),Along Came a Spider (2002),0.6080739505347184
Barbarella (1968),The King of Marvin Gardens (1972),0.6065715562668179
The King of Marvin Gardens (1972),Barbarella (1968),0.6065715562668179
Battlefield Earth (2000),Sexy Beast (2000),0.6031072175254055
Like Stars on Earth (2007),Father's Day (1997),0.6030690044338824
Point Break (1991),What Lies Beneath (2000),0.6020763412153762
Freddy Got Fingered (2001),Heavy Traffic (1973),0.5926799301108323
The Game (1997),Erik the Viking (1989),0.5906790680750406
Date and Switch (2014),Boomerang (1992),0.5904189099662545
On Golden Pond (1981),Red Sonja (1985),0.588893417001671
Double Jeopardy (1999),The Lookout (2007),0.5872946161757617
American Graffiti (1973),Sexy Beast (2000),0.584905283421949
Tropic of Cancer (1970),Stir Crazy (1980),0.5846898600473226
The Village (2004),The Lookout (2007),0.5834305873382578
The Deer Hunter (1978),A Perfect Murder (1998),0.5826765012002226
Midnight Cowboy (1969),Patton (1970),0.5817704576293936
Cable Guy (1996),Crimson Tide (1995),0.5798731998183906
Sholay (1978),The 51st State (2001),0.579596595565732
L.A. Confidential (1997),The Deer Hunter (1978),0.5767612496270458
The Sting (1973),I.Q. (1994),0.5750405394168969
Change of Habit (1969),Cool Hand Luke (1967),0.5749972440338817
Cool Hand Luke (1967),Change of Habit (1969),0.5749972440338817
Adaption (2002),Boomerang (1992),0.5730054666414603
Mystic River (2003),Escape from LA (1996),0.5724541927325251
Gods and Generals (2003),Sexy Beast (2000),0.5702224232432986
Slackers (2002),Change of Habit (1969),0.5699468166410963
Air Force One (1997),The Final Conflict (1981),0.5692789141276591
The Life of David Gale (2003),The King of Marvin Gardens (1972),0.5675329673680642
House of Sand and Fog (2003),The Straight Story (1999),0.5658946686388151
Cinema Paradiso (1988),MacArthur (1977),0.564975452997534
Harry Potter and the Sorcerer's Stone (2001),Harry Potter and the Chamber of Secrets (2002),0.5639080588803832
Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Sorcerer's Stone (2001),0.5639080588803831
From Hell (2001),The King of Marvin Gardens (1972),0.5622853817697189
The Land That Time Forgot (1974),The Bandit (1996),0.5607136652452841
Wing Commander (1999),From Hell (2001),0.5606275642181673
Diamonds are Forever (1971),Sexy Beast (2000),0.5593682670723853
Can't Hardly Wait (1998),The Straight Story (1999),0.5593234185003938
3000 Miles to Graceland (2001),The King of Marvin Gardens (1972),0.558714358298324
The Lord of the Rings: The Return of the King (2003),The Lord of the Rings: The Fellowship of the Ring (2001),0.5584103130598053
JFK (1991),Unforgiven (1992),0.5566577680328803
Gigli (2002),What Lies Beneath (2000),0.5552540059374397
The Passenger (1975),Broken Arrow (1996),0.5549019048518791
A Night at the Roxbury (1998),Patton (1970),0.5527256724178615
War Games (1983),The 51st State (2001),0.5517758033735717
City of God (2002),MacArthur (1977),0.5491603781881607
North (1994),Chain Reaction (1996),0.5486437055810683
Chain Reaction (1996),North (1994),0.5486437055810682
Harry Potter and the Goblet of Fire (2005),Harry Potter and the Chamber of Secrets (2002),0.5473830364255856
Bowling For Columbine (2002),What Lies Beneath (2000),0.541365966851986
Traffic (2000),The Bandit (1996),0.5383396035696302
Misery (1990),What Lies Beneath (2000),0.538283805050229
The Fugitive (1993),Miller's Crossing (1990),0.5359125672665055
Boy's Don't Cry (1999),Erik the Viking (1989),0.5357808238386107
Scent of a Woman (1992),Sexy Beast (2000),0.5349927079807025
Girl With a Pearl Earring (2003),What Lies Beneath (2000),0.5330994935354925
Casino (1995),Escape from LA (1996),0.5307042731618601
Brazil (1985),Change of Habit (1969),0.525606321750943
Mulholland Dr. (2001),FeardotCom (2002),0.5245999213280801
Speed 2: Cruise Control (1997),The Lookout (2007),0.5232381272294993
As Good as it Gets (1997),MacArthur (1977),0.5223511569192691
My Father and My Son (2005),The Lookout (2007),0.5210596299036838
Fahrenheit 9/11 (2004),Erik the Viking (1989),0.5198458306313596
Dogville (2003),Miller's Crossing (1990),0.5179419913080188
Funny Girl (1968),The King of Marvin Gardens (1972),0.5166055041789005
Platoon (1986),The 51st State (2001),0.5140055325223654
25th Hour (2002),Sexy Beast (2000),0.5118116636201016
Sling Blade (1996),The King of Marvin Gardens (1972),0.5115934334763836
Pieces of April (2003),Wing Commander (1999),0.5113219338879923
What Women Want (2000),What Lies Beneath (2000),0.5096411595211336
Kill Bill: Vol. 2 (2004),Kill Bill: Vol. 1 (2003),0.509623270383415
Kill Bill: Vol. 1 (2003),Kill Bill: Vol. 2 (2004),0.509623270383415
Sorority Boys (2002),Pieces of April (2003),0.5093646907331285
The Descent (2005),Miller's Crossing (1990),0.5087548377843522
A.I. Artificial Intelligence (2001),I.Q. (1994),0.508117908504208
Being John Malkovich (1999),Escape from LA (1996),0.5069031823128882
The Perfect Storm (2000),Stir Crazy (1980),0.5042670997545744
Thoroughly Modern Millie (1967),The Station Agent (2003),0.5014864880671385
Once Upon a Time in America (1984),Pieces of April (2003),0.501260155402371
Star Wars: Episode VI - The Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),0.5004437625213171
Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - The Return of the Jedi (1983),0.500443762521317
Look Who's Talking (1989),Ran (1985),0.4998956669137101
Torque (2004),Tropic of Cancer (1970),0.49813178680420245
Chicago (2002),What Lies Beneath (2000),0.4965947103384033
Wild Wild West (1999),Crimson Tide (1995),0.4958107957317134
Fatal Attraction (1987),The Bandit (1996),0.49342329734890955
Who's Afraid of Virginia Woolf (1966),Date and Switch (2014),0.4919069238844386
Leon (1994),Once Upon a Time in the West (1968),0.49147734717177416
Love Story (1970),The King of Marvin Gardens (1972),0.49057949084024044
Die Hard With a Vengeance (1995),De-Lovely (2004),0.4881081951802324
Bad Boys 2 (2003),Bad Boys (1995),0.48578461879700974
Bad Boys (1995),Bad Boys 2 (2003),0.48578461879700974
Terms of Endearment (1983),Boomerang (1992),0.48539510629832994
Runaway Bride (1999),Escape from LA (1996),0.485289709921102
Die Another Day (2002),Escape from LA (1996),0.48097298232755425
Flowers in the Attic (1987),The Lookout (2007),0.4808673027729854
Star Wars: Episode VII - The Force Awakens (2015),Star Wars: Episode VI - The Return of the Jedi (1983),0.48066758170267787
The Bridges of Madison County (1995),Brazil (1985),0.4794519850173842
Gangs of New York (2002),Casino (1995),0.4787682578224548
Blazing Saddles (1974),FeardotCom (2002),0.477276207145264
Fear and Loathing in Las Vegas (1998),Slackers (2002),0.4767535689999072
Ghost (1990),Crimson Tide (1995),0.47548568057992235
Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),0.4727745504679235
American History X (1998),Patton (1970),0.47231197991523033
Sleepy Hollow (1999),Erik the Viking (1989),0.4690135296205561
Requiem for a Dream (2000),Once Upon a Time in the West (1968),0.468272574195977
The Three Musketeers (1993),The 51st State (2001),0.46545927543595256
Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Sorcerer's Stone (2001),0.46524427603107166
Toy Story 2 (1999),Toy Story 3 (2010),0.4649078494661363
Toy Story 3 (2010),Toy Story 2 (1999),0.4649078494661363
The Girl Next Door (2004),Erik the Viking (1989),0.46421707030321835
Rain Man (1988),Erik the Viking (1989),0.46186653126171995
Magnolia (1999),The King of Marvin Gardens (1972),0.46088245584732046
Black Hawk Down (2001),Erik the Viking (1989),0.4600544396549502
Snatch (2000),Slackers (2002),0.45983684517772305
The Usual Suspects (1995),Miller's Crossing (1990),0.45875318301412005
Life is Beautiful (1997),De-Lovely (2004),0.45807452090588796
Hellraiser (1987),MacArthur (1977),0.4555512074582013
Oldboy (2003),Andaz Apna Apna (1994),0.45373787011193845
X-Men 2 (2003),X-Men (2000),0.45307251800810433
X-Men (2000),X-Men 2 (2003),0.45307251800810433
Showgirls (1995),Change of Habit (1969),0.45253811016249046
My Best Friend's Wedding (1997),Erik the Viking (1989),0.45211586447912566
Stand By Me (1986),Sexy Beast (2000),0.4516926929036629
Just Like Heaven (2005),Change of Habit (1969),0.45129545653278824
Shrek 2 (2004),Shrek (2001),0.4510268177555402
Shrek (2001),Shrek 2 (2004),0.4510268177555402
Toy Story (1995),Toy Story 2 (1999),0.4506862901251196
Predator (1987),The Final Conflict (1981),0.449550255392416
There's Something About Mary (1998),Patton (1970),0.4482141186433587
The Talented Mr. Ripley (1999),The Lookout (2007),0.44779347361133226
The Prestige (2006),What Lies Beneath (2000),0.44774333588909754
Man on Fire (2004),Cool Hand Luke (1967),0.44722999341040504
Reservoir Dogs (1992),Patton (1970),0.44648635101339407
The Mummy (1999),The Mummy Returns (2001),0.44366213116320563
The Mummy Returns (2001),The Mummy (1999),0.4436621311632055
Just Married (2003),De-Lovely (2004),0.44366097725463416
Equilibrium (2002),Change of Habit (1969),0.4433325904344152
Let the Right One In (2008),Slackers (2002),0.440634409724456
The Good the Bad and the Ugly (1966),The 51st State (2001),0.43953187121124326
The Poseidon Adventure (1972),The King of Marvin Gardens (1972),0.4387589579009237
You're Next (2011),Miller's Crossing (1990),0.4384356044459745
The Rock (1996),The King of Marvin Gardens (1972),0.43839183751048405
The Green Mile (1999),The Game (1997),0.4329819455909022
Men in Black II (2002),Men in Black (1997),0.43135875293743753
Men in Black (1997),Men in Black II (2002),0.4313587529374374
Uptown Girls (2003),The Firm (1993),0.4289831185912518
The Blue Lagoon (1980),Crimson Tide (1995),0.4289149370934737
The Machinist (2004),Escape from LA (1996),0.428765958035613
The Evil Dead (1981),Escape from LA (1996),0.42869529140270746
Knight and Day (2010),Point Break (1991),0.4268440575456022
28 Days Later (2002),Miller's Crossing (1990),0.42384844923471443
Dances with Wolves (1990),The Deer Hunter (1978),0.4235507851172867
Blues Brothers 2000 (1998),The 51st State (2001),0.4216782524022984
Twister (1996),Sexy Beast (2000),0.4188687331718818
The Big Lebowski (1998),Escape from LA (1996),0.41767373518258677
Goodfellas (1990),Patton (1970),0.4161597725339885
Austin Powers: The Spy Who Shagged Me (1999),Austin Powers in Goldmember (2002),0.41411802815118837
Austin Powers in Goldmember (2002),Austin Powers: The Spy Who Shagged Me (1999),0.41411802815118837
Crossroads (2002),Pieces of April (2003),0.4125064980825913
Gone in Sixty Seconds (2000),The 51st State (2001),0.41102463304683523
Aliens (1986),Miller's Crossing (1990),0.4095733957811696
Full Metal Jacket (1987),Escape from LA (1996),0.4093814118301511
Hannibal (2001),The Straight Story (1999),0.40715066243622655
Apocalypse Now (1979),Midnight Cowboy (1969),0.40651790736162496
Angels in the Outfield (1994),Heavy Traffic (1973),0.4054095875331265
Anger Management (2002),The Bandit (1996),0.4044004250316604
Honey (2003),Sexy Beast (2000),0.4029410853904397
12 Monkeys (1995),Change of Habit (1969),0.40187112859351204
Star Wars: Episode II - Attack of the Clones (2002),Star Wars: Episode 1 - The Phantom Menace (1999),0.4010061938750953
Star Wars: Episode 1 - The Phantom Menace (1999),Star Wars: Episode II - Attack of the Clones (2002),0.4010061938750952
Almost Famous (2000),Sexy Beast (2000),0.4004940928581887
Big Daddy (1999),Crimson Tide (1995),0.40020471823187165
Arachnophobia (1990),The Land That Time Forgot (1974),0.39969578204849276
Child's Play (1988),The Lookout (2007),0.3980451426044648
